Equipment,Wo Start Date,Wo Type Code,Code
E-8106A,1402/04/10,PM,B
E-8106B,1402/04/10,PM,B
E-8106C,1402/04/10,PM,B
E-8106D,1402/04/10,PM,B
E-8106E,1402/04/10,PM,B
E-8106F,1402/04/10,PM,B
E-8107A,1402/04/10,PM,B
E-8107B,1402/04/10,PM,B
E-8106F,1402/04/26,CM,G
E-8105F,1402/5/1,CM,C
E-8105E,1402/05/17,CM,C
E-8106C,1402/5/30,CM,H
E-8105A,1402/6/8,CM,C
E-8105C,1402/06/15,CM,C
E-8106C,1402/06/15,CM,C
E-8105F,1402/06/17,CM,C
E-8105C,1402/6/27,CM,C
E-8106C,1402/07/08,CM,C
E-8106A,1402/07/19,CM,C
E-8106F,1402/7/22,CM,C
E-8106A,1402/7/23,CM,C+N
E-8105A,1402/08/13,PM,A
E-8105B,1402/08/13,PM,A
E-8105C,1402/08/13,PM,A
E-8105D,1402/08/13,PM,A
E-8105E,1402/08/13,PM,A+C
E-8105F,1402/08/13,PM,A
E-8106A,1402/08/13,PM,A+D
E-8106B,1402/08/13,PM,A
E-8106C,1402/08/13,PM,A
E-8106D,1402/08/13,PM,A
E-8106E,1402/08/13,PM,A
E-8106F,1402/08/13,PM,A
E-8107A,1402/08/13,PM,A
E-8107B,1402/08/13,PM,A
E-8106C,1402/9/1,CM,C
E-8105D,1402/9/6,CM,C
E-8106B,1402/09/19,CM,C
E-8105E,1402/10/4,CM,C
E-8106F,1402/10/17,CM,C
E-8105B,1402/10/20,CM,C
E-8105F,1402/10/28,CM,C
E-8107B,1402/11/17,CM,C
E-8107A,1402/11/17,CM,H
E-8106D,1401/1/14,CM,G
E-8105C,1401/1/25,CM,C
E-8106F,1401/3/22,CM,G
E-8106E,1401/3/22,CM,G
E-8106C,1401/3/23,CM,G
E-8106D,1401/3/23,CM,G
E-8105A,1401/4/6,PM,B
E-8105B,1401/4/6,PM,B
E-8105C,1401/4/6,PM,B
E-8105D,1401/4/6,PM,B
E-8105E,1401/4/6,PM,B
E-8105F,1401/4/6,PM,B
E-8106A,1401/4/6,PM,B
E-8106B,1401/4/6,PM,B
E-8106C,1401/4/6,PM,B
E-8106D,1401/4/6,PM,B
E-8106E,1401/4/6,PM,B
E-8106F,1401/4/6,PM,B
E-8107A,1401/4/6,PM,B
E-8107B,1401/4/6,PM,B
E-8105A,1401/5/13,CM,C
E-8105E,1401/05/22,CM,C
E-8105E,1401/05/24,CM,C
E-8105D,1401/5/29,CM,C
E-8105D,1401/6/1,CM,C
