Code,Tag No,Equipment Class,Trade,Work Type,Request Date,WO Start Date,WO End Date,Total Hours Work
151320,Comp_D,HEAT EXCHANGER,FIX MECHANICAL,CORRECTIVE,14020307,14020308,14020308,5
151091,Comp_E,COMPRESSOR,Condition Monitoring,CORRECTIVE,14020301,14020309,14020309,3
150888,Comp_E,COMPRESSOR,Condition Monitoring,CORRECTIVE,14020227,14020225,14020225,13
150643,Comp_D,ELECTRIC MOTOR,ELECTRICAL,SERVICE,14020224,14020309,14020309,15
150601,Comp_B,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14020223,14020224,14020224,10
150599,Comp_A,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14020223,14020223,14020223,5
150416,Comp_D,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14020218,14020217,14020217,5
150405,Comp_A,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14020218,14020218,14020218,5
150382/5,Comp_C,COMPRESSOR,Condition Monitoring,CORRECTIVE,14020219,14020219,14020219,2
150382/4,Comp_C,COMPRESSOR,ELECTRICAL,CORRECTIVE,14020218,14020218,14020218,7
150382/3,Comp_C,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14020218,14020218,14020218,6
150382/2/2,Comp_C,COMPRESSOR,WORKSHOP,CORRECTIVE,14020313,14020314,14020315,5
150382/2/1,Comp_C,COMPRESSOR,WORKSHOP,CORRECTIVE,14020224,14020225,14020225,1
150382/2,Comp_C,COMPRESSOR,WORKSHOP,CORRECTIVE,14020218,14020223,14020316,16
150382/1,Comp_C,COMPRESSOR,CRAFT,CORRECTIVE,14020218,14020218,14020218,16
150382,Comp_C,PUMP,MACHINERY,CORRECTIVE,14020218,14020218,14020218,12
150380,Comp_C,PUMP,MECHANICAL SHIFT,SHIFT SHAB,14020217,14020217,14020217,6
149246,Comp_D,COMPRESSOR,INSTRUMENT,CORRECTIVE,14020131,14020131,14020131,6
149008/4,Comp_C,COMPRESSOR,MACHINERY,CORRECTIVE,14020206,14020205,14020205,3
149008/2,Comp_C,COMPRESSOR,CRAFT,CORRECTIVE,14020130,14020205,14020205,8
149008/1,Comp_C,COMPRESSOR,ELECTRICAL,CORRECTIVE,14020126,14020130,14020130,9
149008,Comp_C,COMPRESSOR,ELECTRICAL,CORRECTIVE,14020123,14020124,14020205,17
149005/1,Comp_E,SAFETY VALVE,WORKSHOP,PREVENTIVE MAINTENANCE,14020127,14020127,14020205,13
149005,Comp_E,SAFETY VALVE,FIX MECHANICAL,PREVENTIVE MAINTENANCE,14020123,14020210,14020210,10
148448,Comp_D,HEAT EXCHANGER,FIX MECHANICAL,CORRECTIVE,14020106,14020106,14020106,5
148271/1,Comp_B,PUMP,WORKSHOP,CORRECTIVE,14011225,14011225,14011227,3
148271,Comp_B,PUMP,FIX MECHANICAL,CORRECTIVE,14011225,14011225,14011225,4
148249/6,Comp_C,ELECTRIC MOTOR,MACHINERY,CORRECTIVE,14020107,14020107,14020107,3
148249/5,Comp_C,ELECTRIC MOTOR,CRAFT,CORRECTIVE,14020106,14020107,14020107,8
148249/4,Comp_C,ELECTRIC MOTOR,WORKSHOP,CORRECTIVE,14020101,14020102,14020102,1
148249/3,Comp_C,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14011228,14020106,14020107,12
148249/2,Comp_C,ELECTRIC MOTOR,CRAFT,CORRECTIVE,14011224,14011227,14011227,4
148249/1/1,Comp_C,ELECTRIC MOTOR,MACHINERY,CORRECTIVE,14011224,14011227,14011227,8
148249/1,Comp_C,ELECTRIC MOTOR,MACHINERY,CORRECTIVE,14011224,14011227,14011227,8
148249,Comp_C,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14011224,14020107,14020107,12
148248/1,Comp_B,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14011224,14020106,14020106,4
148248,Comp_B,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14011224,14011224,14020106,3
148198,Comp_C,COMPRESSOR,ELECTRICAL,CORRECTIVE,14011223,14011223,14011223,6
148166,Comp_E,COMPRESSOR,WORKSHOP,PREVENTIVE MAINTENANCE,14011221,14020129,14020129,6
147875/1,Comp_D,INDICATOR,INSTRUMENT,CORRECTIVE,14011220,14011221,14011221,2
147875,Comp_D,INDICATOR,INSTRUMENT,CORRECTIVE,14011215,14011215,14011215,1
147831/2,Comp_D,COMPRESSOR,WORKSHOP,CORRECTIVE,14011215,14011216,14011216,12
147831/1,Comp_D,COMPRESSOR,CRAFT,CORRECTIVE,14011214,14011214,14011214,29
147831,Comp_D,COMPRESSOR,MACHINERY,CORRECTIVE,14011213,14011214,14011214,19
147320/1,Comp_E,ELECTRIC MOTOR,ELECTRICAL,PREVENTIVE MAINTENANCE,14011201,14020108,14020109,16
147320,Comp_E,ELECTRIC MOTOR,ELECTRICAL,PREVENTIVE MAINTENANCE,14011201,14011201,14020227,21
147319,Comp_E,ELECTRIC MOTOR,ELECTRICAL,PREVENTIVE MAINTENANCE,14011201,14010704,14010704,6
146909,Comp_D,COMPRESSOR,MACHINERY,CORRECTIVE,14011120,14011124,14011124,15
146803/4/1,Comp_B,PUMP,WORKSHOP,CORRECTIVE,14011126,14011202,14011204,12
146803/4,Comp_B,PUMP,WORKSHOP,CORRECTIVE,14011117,14011124,14011206,9
146803/3,Comp_B,PUMP,ELECTRICAL,CORRECTIVE,14011117,14011119,14011119,9
146803/2,Comp_B,PUMP,FIX MECHANICAL,CORRECTIVE,14011117,14011119,14011119,5
146803/1,Comp_B,PUMP,CRAFT,CORRECTIVE,14011117,14011119,14011119,3
146803,Comp_B,PUMP,MACHINERY,CORRECTIVE,14011117,14011119,14011119,4
146794,Comp_E,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14011117,14011110,14011110,3
146793,Comp_B,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14011117,14011110,14011110,3
146792,Comp_A,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14011117,14011110,14011110,3
146791,Comp_D,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14011117,14011110,14011110,3
146790,Comp_C,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14011117,14011110,14011110,3
146728/9,Comp_E,COMPRESSOR,WORKSHOP,CORRECTIVE,14011218,14011228,14011229,4
146728/8,Comp_E,COMPRESSOR,WORKSHOP,CORRECTIVE,14011215,14011221,14011228,26
146728/7,Comp_E,COMPRESSOR,CRAFT,CORRECTIVE,14011211,14011212,14011212,3
146728/6,Comp_E,COMPRESSOR,INSTRUMENT,CORRECTIVE,14011127,14011116,14011116,8
146728/5,Comp_E,COMPRESSOR,WORKSHOP,CORRECTIVE,14011126,14011126,14011127,10
146728/3,Comp_E,COMPRESSOR,ELECTRICAL,CORRECTIVE,14011116,14011119,14011120,6
146728/2/1,Comp_E,COMPRESSOR,WORKSHOP,CORRECTIVE,14011119,14011119,14011120,12
146728/2,Comp_E,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14011116,14011120,14011120,14
146728/16/1,Comp_E,COMPRESSOR,CRAFT,CORRECTIVE,14020219,14020219,14020219,3
146728/15,Comp_E,COMPRESSOR,Condition Monitoring,CORRECTIVE,14020217,14020308,14020308,3
146728/14,Comp_E,COMPRESSOR,ELECTRICAL,CORRECTIVE,14020217,14020218,14020227,14
146728/13,Comp_E,COMPRESSOR,INSTRUMENT,CORRECTIVE,14020217,14020218,14020218,12
146728/12,Comp_E,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14020217,14020228,14020228,20
146728/11,Comp_E,COMPRESSOR,CRAFT,CORRECTIVE,14020217,14020220,14020220,8
146728/10,Comp_E,COMPRESSOR,CRAFT,CORRECTIVE,14011223,14011227,14011227,4
146728/1/1,Comp_E,COMPRESSOR,WORKSHOP,CORRECTIVE,14011121,14011121,14011126,30
146728/1,Comp_E,COMPRESSOR,CRAFT,CORRECTIVE,14011116,14011119,14011119,12
146728,Comp_E,COMPRESSOR,MACHINERY,CORRECTIVE,14011116,14011202,14020228,190
146671,Comp_A,COMPRESSOR,INSTRUMENT,CORRECTIVE,14011113,14011113,14011113,0
146670,Comp_A,COMPRESSOR,MACHINERY,CORRECTIVE,14011113,14011112,14011112,1
146601,Comp_E,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14011111,14011112,14011112,8
146367/1,Comp_D,COMPRESSOR,MACHINERY,CORRECTIVE,14011108,14011108,14011108,11
146367,Comp_D,COMPRESSOR,INSTRUMENT,CORRECTIVE,14011108,14011108,14011108,2
